date,sym,exp,dte,spot,atm,straddle,em_pct,iv,iv_skew,pcr,max_pain,cw,pw,fut_oi,fut_oi_chg,opt_val
2026-02-23,BANKNIFTY,2026-02-24,1,61264.25,61300.0,458.65,0.75,17.9,3.33,0.92,61000.0,63000;62000;62500,60000;61000;58000,1900380.0,88530.0,29996280722458.5
2026-02-23,BANKNIFTY,2026-03-30,35,61264.25,61300.0,1785.4,2.91,11.66,0.91,1.3,61000.0,61000;62000;63000,61000;60000;58000,1900380.0,88530.0,742368793867.5
2026-02-23,NIFTY,2026-02-24,1,25713.0,25700.0,171.3,0.67,15.9,1.84,0.98,25700.0,26000;25800;26500,25500;25000;24500,19804850.0,1266590.0,254549116590512.25
2026-02-23,NIFTY,2026-03-02,7,25713.0,25700.0,380.1,1.48,13.32,0.89,0.89,25700.0,27000;26000;27300,25500;25000;25700,19804850.0,1266590.0,8694773282149.5
2026-02-24,BANKNIFTY,2026-02-24,0,61047.3,61000.0,52.3,0.09,1.86,1.73,0.98,61000.0,61100;61000;61200,61000;60000;60900,1924320.0,23940.0,143751762865789.5
2026-02-24,BANKNIFTY,2026-03-30,34,61047.3,61000.0,1796.85,2.94,11.89,0.14,1.2,61000.0,61000;62000;61500,61000;60000;58000,1924320.0,23940.0,1544168558388.0
2026-02-24,NIFTY,2026-02-24,0,25424.65,25400.0,25.2,0.1,2.16,2.31,0.87,25450.0,25450;25500;26000,25400;25000;25350,20919860.0,1115010.0,591314336116858.2
2026-02-24,NIFTY,2026-03-02,6,25424.65,25400.0,367.9,1.45,14.07,-1.17,0.6,25500.0,25500;27000;26000,25000;25500;23100,20919860.0,1115010.0,19728590373641.5
2026-02-25,BANKNIFTY,2026-03-30,33,61043.35,61000.0,1746.25,2.86,11.74,0.75,1.08,61000.0,61000;61500;62000,61000;60000;58000,1547550.0,118800.0,3235049105920.5
2026-02-25,BANKNIFTY,2026-04-28,62,61043.35,61000.0,2504.95,4.1,12.18,0.55,2.11,61300.0,64000;62000;61000,58000;57000;60000,1547550.0,118800.0,34541596144.5
2026-02-25,NIFTY,2026-03-02,5,25482.5,25500.0,294.55,1.16,12.38,-0.22,0.65,25500.0,25600;25700;26000,25500;23100;25000,13901940.0,-370825.0,108340123355610.23
2026-02-25,NIFTY,2026-03-10,13,25482.5,25500.0,472.65,1.85,12.29,0.0,0.91,25600.0,26000;25600;26100,25000;25500;24500,13901940.0,-370825.0,2377670796796.75
2026-02-26,BANKNIFTY,2026-03-30,32,61187.7,61200.0,1665.05,2.72,11.38,0.93,1.14,61000.0,61000;62000;63000,61000;60000;58000,1551780.0,4230.0,2644756147302.0
2026-02-26,BANKNIFTY,2026-04-28,61,61187.7,61200.0,2438.65,3.99,11.96,0.96,2.09,61500.0,64000;62000;61000,58000;57000;60000,1551780.0,4230.0,31498156008.0
2026-02-26,NIFTY,2026-03-02,4,25496.55,25500.0,235.85,0.93,11.06,0.3,0.69,25500.0,26000;25500;25700,24000;25000;25500,14064375.0,162435.0,110770377786350.77
2026-02-26,NIFTY,2026-03-10,12,25496.55,25500.0,433.1,1.7,11.7,0.33,0.89,25500.0,26000;25500;26200,25500;25000;24500,14064375.0,162435.0,3142584950826.75
2026-02-27,BANKNIFTY,2026-03-30,31,60529.0,60500.0,1723.6,2.85,12.09,-0.24,1.0,61000.0,61000;63000;62000,61000;60000;58000,1915020.0,363240.0,3592656581721.0
2026-02-27,BANKNIFTY,2026-04-28,60,60529.0,60500.0,2490.3,4.11,12.44,-0.19,2.01,61200.0,64000;61000;62000,58000;60000;57000,1915020.0,363240.0,47514450331.5
2026-02-27,NIFTY,2026-03-02,3,25178.65,25200.0,211.6,0.84,11.62,-1.81,0.46,25300.0,26000;25500;25400,25000;24000;23100,16107260.0,2042885.0,216122414956955.0
2026-02-27,NIFTY,2026-03-10,11,25178.65,25200.0,450.05,1.79,12.89,-0.78,0.55,25400.0,27000;26000;25500,24500;25000;24000,16107260.0,2042885.0,6399766127293.5
2026-03-02,BANKNIFTY,2026-03-30,28,59839.65,59800.0,1926.0,3.22,14.44,-0.73,1.01,61000.0,61000;62000;63000,61000;60000;58000,2082090.0,167070.0,4758272171229.0
2026-03-02,BANKNIFTY,2026-04-28,57,59839.65,59800.0,2711.2,4.53,14.15,-0.82,1.74,61000.0,64000;60000;61000,58000;57000;60000,2082090.0,167070.0,141276497374.5
2026-03-02,NIFTY,2026-03-02,0,24865.7,24850.0,24.8,0.1,2.94,3.89,0.89,24900.0,24900;25000;25500,24850;24800;24000,17053205.0,945945.0,730015054433190.5
2026-03-02,NIFTY,2026-03-10,8,24865.7,24850.0,543.1,2.18,18.45,1.72,0.74,25000.0,26000;25500;25000,24000;23500;24500,17053205.0,945945.0,21910654949618.5
2026-03-04,BANKNIFTY,2026-03-30,26,58755.25,58800.0,2336.75,3.98,18.65,-1.08,0.9,60400.0,61000;62000;63000,59000;62000;61000,2482020.0,399930.0,4732607210275.5
2026-03-04,BANKNIFTY,2026-04-28,55,58755.25,58800.0,3099.8,5.28,16.94,-0.83,1.43,60000.0,60000;63000;64000,58000;57000;60000,2482020.0,399930.0,121997690322.0
2026-03-04,NIFTY,2026-03-10,6,24480.5,24500.0,629.9,2.57,25.16,1.17,0.78,24700.0,26000;25000;25500,23100;24000;23500,17939285.0,886080.0,77306722738635.0
2026-03-04,NIFTY,2026-03-17,13,24480.5,24500.0,830.7,3.39,22.54,0.98,0.62,24700.0,26000;25500;25000,23500;24000;24500,17939285.0,886080.0,1874671855290.0
2026-03-05,BANKNIFTY,2026-03-30,25,59055.85,59100.0,1974.1,3.34,15.96,-0.59,0.89,60000.0,62000;61000;60000,59000;62000;61000,2548320.0,66300.0,4667128439296.5
2026-03-05,BANKNIFTY,2026-04-28,54,59055.85,59100.0,2758.95,4.67,15.1,0.03,1.4,60000.0,59000;60000;61000,59000;58000;57000,2548320.0,66300.0,149572203913.5
2026-03-05,NIFTY,2026-03-10,5,24765.9,24750.0,430.2,1.74,18.57,2.71,0.92,24750.0,26000;25500;25000,22750;24000;23500,17869475.0,-69810.0,92257867384218.23
2026-03-05,NIFTY,2026-03-17,12,24765.9,24750.0,650.3,2.63,18.1,2.91,0.7,24750.0,26000;25500;25000,24000;24500;23500,17869475.0,-69810.0,2430887542937.75
2026-03-06,BANKNIFTY,2026-03-30,24,57783.25,57800.0,2351.15,4.07,19.86,-0.86,0.79,59500.0,62000;61000;60000,59000;62000;58000,2815830.0,267510.0,4677705621912.0
2026-03-06,BANKNIFTY,2026-04-28,53,57783.25,57800.0,3166.65,5.48,17.93,-1.02,1.11,59500.0,59000;62000;60000,59000;58000;57000,2815830.0,267510.0,162515484606.0
2026-03-06,NIFTY,2026-03-10,4,24450.45,24450.0,461.9,1.89,22.62,1.37,0.68,24600.0,26000;25500;25000,22750;23500;24000,18279430.0,409955.0,136620634152096.23
2026-03-06,NIFTY,2026-03-17,11,24450.45,24450.0,736.45,3.01,21.74,0.97,0.61,24650.0,26000;25500;25000,24000;24500;23500,18279430.0,409955.0,3041576190510.0
2026-03-09,BANKNIFTY,2026-03-30,21,56019.8,56000.0,2869.0,5.12,26.76,-1.71,0.79,59000.0,61000;59000;60000,59000;62000;51000,3023700.0,207870.0,4624950585984.0
2026-03-09,BANKNIFTY,2026-04-28,50,56019.8,56000.0,3810.7,6.8,23.0,-1.78,0.73,59000.0,62000;60000;59000,59000;58000;57000,3023700.0,207870.0,222442787349.0
2026-03-09,NIFTY,2026-03-10,1,24028.05,24050.0,379.15,1.58,37.75,-3.71,1.0,24100.0,25000;25500;26000,23000;22750;23500,20247435.0,1968005.0,182085245371487.25
2026-03-09,NIFTY,2026-03-17,8,24028.05,24050.0,823.6,3.43,29.02,-1.73,0.57,24300.0,26000;25000;25500,24000;22750;23500,20247435.0,1968005.0,6047370117467.25
2026-03-10,BANKNIFTY,2026-03-30,20,56950.8,57000.0,2135.0,3.75,20.06,-2.27,0.81,59000.0,61000;59000;60000,59000;56000;51000,2913030.0,-110670.0,3961683127489.5
2026-03-10,BANKNIFTY,2026-04-28,49,56950.8,57000.0,3112.4,5.47,18.63,-2.23,0.78,59000.0,62000;59000;60000,61000;59000;58000,2913030.0,-110670.0,204670942948.5
2026-03-10,NIFTY,2026-03-10,0,24261.6,24250.0,17.7,0.07,2.32,2.64,1.02,24250.0,24300;25000;24250,24250;24200;23000,20273825.0,26390.0,669524392015703.2
2026-03-10,NIFTY,2026-03-17,7,24261.6,24250.0,551.25,2.27,20.54,-2.8,0.89,24300.0,26000;25000;25500,21500;23000;21450,20273825.0,26390.0,13595838067893.25
2026-03-11,BANKNIFTY,2026-03-30,19,55735.75,55700.0,2422.15,4.35,23.85,-0.02,0.76,58500.0,61000;59000;60000,59000;56000;51000,3108240.0,195210.0,4060854458704.5
2026-03-11,BANKNIFTY,2026-04-28,48,55735.75,55700.0,3437.55,6.17,21.26,-1.39,0.82,59000.0,62000;61000;60000,61000;59000;57000,3108240.0,195210.0,246664011813.0
2026-03-11,NIFTY,2026-03-17,6,23866.85,23850.0,593.6,2.49,24.3,0.15,0.61,24100.0,26000;25000;25500,23000;21500;21450,21392800.0,1118975.0,71673247675513.25
2026-03-11,NIFTY,2026-03-24,13,23866.85,23850.0,822.2,3.44,22.86,0.81,0.61,24050.0,25000;26000;24000,23000;24000;23500,21392800.0,1118975.0,1558028936441.25
2026-03-12,BANKNIFTY,2026-03-30,18,55100.95,55100.0,2404.6,4.36,24.62,-1.57,0.79,58200.0,61000;59000;60000,59000;51000;55000,3071940.0,-36300.0,4078676226235.5
2026-03-12,BANKNIFTY,2026-04-28,47,55100.95,55100.0,3559.15,6.46,22.52,-2.97,0.83,59000.0,62000;61000;60000,61000;59000;57000,3071940.0,-36300.0,203748526932.0
2026-03-12,NIFTY,2026-03-17,5,23639.15,23650.0,504.1,2.13,22.84,-0.8,0.7,23900.0,25000;24500;25500,21500;21450;23000,21744125.0,351325.0,70357561650678.25
2026-03-12,NIFTY,2026-03-24,12,23639.15,23650.0,781.15,3.3,22.84,-0.43,0.54,24000.0,25000;26000;24000,23000;23500;22000,21744125.0,351325.0,1847029080776.75
2026-03-13,BANKNIFTY,2026-03-30,17,53757.85,53800.0,2546.2,4.74,27.52,-0.3,0.75,57100.0,61000;59000;60000,59000;51000;54000,3219360.0,147420.0,4831741052035.5
2026-03-13,BANKNIFTY,2026-04-28,46,53757.85,53800.0,3818.4,7.1,25.08,-1.61,0.8,59000.0,62000;61000;60000,61000;59000;57000,3219360.0,147420.0,278608877586.0
2026-03-13,NIFTY,2026-03-17,4,23151.1,23150.0,490.5,2.12,25.36,1.6,0.58,23500.0,25000;24000;24500,21500;22000;21450,23888410.0,2144285.0,132405602366111.77
2026-03-13,NIFTY,2026-03-24,11,23151.1,23150.0,815.3,3.52,25.42,0.92,0.55,23500.0,25000;24000;24500,23000;21500;21450,23888410.0,2144285.0,3007837881252.75
2026-03-16,BANKNIFTY,2026-03-30,14,54413.4,54400.0,2243.8,4.12,26.39,-0.5,0.75,57000.0,61000;60000;59000,51000;59000;54000,3214950.0,-4410.0,4960672339203.0
2026-03-16,BANKNIFTY,2026-04-28,43,54413.4,54400.0,3579.1,6.58,23.99,-0.69,0.83,59000.0,62000;61000;60000,61000;59000;55000,3214950.0,-4410.0,224266907335.5
2026-03-16,NIFTY,2026-03-17,1,23408.8,23400.0,307.1,1.31,31.4,5.4,1.02,23400.0,24000;24500;25000,22000;23000;22500,22332895.0,-1555515.0,251268758220489.7
2026-03-16,NIFTY,2026-03-24,8,23408.8,23400.0,683.9,2.92,24.72,3.23,0.79,23450.0,24000;25000;26000,21000;23000;22000,22332895.0,-1555515.0,6736738737725.75
2026-03-17,BANKNIFTY,2026-03-30,13,54876.0,54900.0,1830.45,3.34,22.15,0.2,0.79,57000.0,61000;60000;59000,51000;59000;54000,3193830.0,-21120.0,4219240918695.0
2026-03-17,BANKNIFTY,2026-04-28,42,54876.0,54900.0,3280.95,5.98,22.06,-1.55,0.8,59000.0,60000;61000;59000,60000;61000;59000,3193830.0,-21120.0,273467621604.0
2026-03-17,NIFTY,2026-03-17,0,23581.15,23600.0,19.45,0.08,2.18,-2.37,1.13,23600.0,23600;23650;24000,23550;23500;23600,21921120.0,-411775.0,744461891995038.8
2026-03-17,NIFTY,2026-03-24,7,23581.15,23600.0,509.8,2.16,19.56,1.15,0.98,23600.0,25000;24000;24500,21000;23000;20950,21921120.0,-411775.0,15184650911849.25
2026-03-18,BANKNIFTY,2026-03-30,12,55326.05,55300.0,1584.05,2.86,19.76,0.6,0.9,57000.0,61000;60000;59000,54000;55000;51000,3223200.0,29370.0,5323743605646.0
2026-03-18,BANKNIFTY,2026-04-28,41,55326.05,55300.0,2967.1,5.36,19.98,-0.67,0.8,59000.0,60000;61000;59000,60000;61000;59000,3223200.0,29370.0,324933626631.0
2026-03-18,NIFTY,2026-03-24,6,23777.8,23800.0,427.1,1.8,17.56,2.86,1.06,23700.0,25000;24500;24000,21000;23000;20950,21585005.0,-336115.0,75655229332569.25
2026-03-18,NIFTY,2026-03-30,12,23777.8,23800.0,600.85,2.53,17.46,2.45,1.18,24500.0,26000;25000;24000,19000;23000;20000,21585005.0,-336115.0,4505565188666.75
2026-03-19,BANKNIFTY,2026-03-30,11,53451.0,53500.0,1979.35,3.7,26.74,-0.39,0.79,56000.0,59000;61000;56000,51000;59000;54000,3181230.0,-41970.0,6511635964407.0
2026-03-19,BANKNIFTY,2026-04-28,40,53451.0,53500.0,3599.5,6.73,25.51,-1.41,0.76,58000.0,60000;61000;59000,60000;54000;61000,3181230.0,-41970.0,360283996572.0
2026-03-19,NIFTY,2026-03-24,5,23002.15,23000.0,525.0,2.28,24.44,0.69,0.71,23300.0,25000;24000;24500,21000;23000;22000,21897135.0,312130.0,73475785470226.75
2026-03-19,NIFTY,2026-03-30,11,23002.15,23000.0,755.5,3.28,23.7,-0.03,1.08,24200.0,26000;24000;25000,19000;22000;20000,21897135.0,312130.0,6623315378689.75
2026-03-20,BANKNIFTY,2026-03-30,10,53427.05,53400.0,1947.95,3.65,27.6,-0.68,0.8,56000.0,59000;61000;60000,59000;54000;51000,3201720.0,20490.0,6220303585879.5
2026-03-20,BANKNIFTY,2026-04-28,39,53427.05,53400.0,3570.55,6.68,25.62,-1.61,0.78,58000.0,60000;61000;59000,60000;54000;55000,3201720.0,20490.0,280279465498.5
2026-03-20,NIFTY,2026-03-24,4,23114.5,23100.0,479.05,2.07,24.8,1.01,0.79,23250.0,25000;24000;24500,21000;22000;23000,22509370.0,612235.0,132694294290044.5
2026-03-20,NIFTY,2026-03-30,10,23114.5,23100.0,724.9,3.14,23.73,0.7,1.08,24000.0,26000;24000;25000,19000;20000;22000,22509370.0,612235.0,5891882714588.0
2026-03-23,BANKNIFTY,2026-03-30,7,51437.75,51400.0,2182.35,4.24,38.41,1.24,0.73,55100.0,59000;61000;56000,59000;51000;48000,3303120.0,101400.0,6377364188517.0
2026-03-23,BANKNIFTY,2026-04-28,36,51437.75,51400.0,,,52.37,,0.74,57000.0,60000;61000;57000,60000;54000;61000,3303120.0,101400.0,401066553285.0
2026-03-23,NIFTY,2026-03-24,1,22512.65,22500.0,398.2,1.77,42.34,1.87,0.7,22750.0,24000;23500;23000,21000;22000;21500,23287550.0,778180.0,161169197349098.25
2026-03-23,NIFTY,2026-03-30,7,22512.65,22500.0,841.2,3.74,33.83,1.87,0.97,23800.0,26000;24000;25000,20000;19000;22000,23287550.0,778180.0,8829642907055.75
2026-03-24,BANKNIFTY,2026-03-30,6,52605.65,52600.0,1708.45,3.25,31.76,-0.67,0.75,55000.0,61000;59000;56000,59000;48000;51000,3107310.0,-195810.0,7184880695127.0
2026-03-24,BANKNIFTY,2026-04-28,35,52605.65,52600.0,,,29.48,,0.79,57000.0,60000;61000;59000,60000;54000;51000,3107310.0,-195810.0,331042820697.0
2026-03-24,NIFTY,2026-03-24,0,22912.4,22900.0,19.3,0.08,2.13,2.27,0.97,22950.0,23000;22950;23500,22900;22800;22700,23304710.0,17160.0,669701376502837.2
2026-03-24,NIFTY,2026-03-30,6,22912.4,22900.0,652.25,2.85,27.82,0.86,1.05,23500.0,24000;25000;26000,20000;22000;21000,23304710.0,17160.0,18514587155233.0
2026-03-25,BANKNIFTY,2026-03-30,5,53708.1,53700.0,1422.4,2.65,28.36,1.4,0.84,55200.0,59000;61000;56000,59000;48000;52000,3011970.0,-95340.0,7230334224973.5
2026-03-25,BANKNIFTY,2026-04-28,34,53708.1,53700.0,3453.35,6.43,26.41,-0.74,0.89,57000.0,60000;61000;55000,60000;52000;54000,3011970.0,-95340.0,481022315682.0
2026-03-25,NIFTY,2026-03-30,5,23306.45,23300.0,550.1,2.36,25.27,2.2,1.24,23500.0,25000;24000;24500,20000;21000;22000,23063690.0,-241020.0,58820737682229.25
2026-03-25,NIFTY,2026-04-07,13,23306.45,23300.0,890.6,3.82,25.38,2.03,1.1,24200.0,24500;24600;24700,24650;24550;23000,23063690.0,-241020.0,2183605444637.5
2026-03-27,BANKNIFTY,2026-03-30,3,52274.6,52300.0,1088.2,2.08,28.78,1.26,0.81,54300.0,61000;59000;56000,49000;59000;51000,3262350.0,250380.0,13022744552806.5
2026-03-27,BANKNIFTY,2026-04-28,32,52274.6,52300.0,3732.9,7.14,30.26,0.22,0.86,56000.0,60000;59000;55000,60000;52000;59000,3262350.0,250380.0,673039314961.5
2026-03-27,NIFTY,2026-03-30,3,22819.6,22800.0,426.0,1.87,25.78,1.56,0.88,23150.0,24000;25000;24500,20000;22000;21500,25269660.0,2205970.0,117342633474407.23
2026-03-27,NIFTY,2026-04-07,11,22819.6,22800.0,955.35,4.19,30.22,2.17,0.91,23600.0,24500;24000;25000,21000;20500;22000,25269660.0,2205970.0,3843816678182.0
2026-03-30,BANKNIFTY,2026-03-30,0,50275.35,50300.0,63.75,0.13,4.14,3.0,0.63,50900.0,50300;50400;50800,50200;50300;50000,3608220.0,345870.0,102034125529153.5
2026-03-30,BANKNIFTY,2026-04-28,29,50275.35,50300.0,,,34.66,,0.86,55000.0,60000;55000;59000,60000;59000;52000,3608220.0,345870.0,1151523117414.0
2026-03-30,NIFTY,2026-03-30,0,22331.4,22350.0,35.75,0.16,4.9,4.96,0.76,22500.0,22350;22500;23000,22300;22000;21500,29861975.0,4592315.0,519147239087356.8
2026-03-30,NIFTY,2026-04-07,8,22331.4,22350.0,779.2,3.49,29.55,0.06,0.77,23000.0,24000;24500;23500,20500;21000;20200,29861975.0,4592315.0,11274585282051.0
2026-04-01,BANKNIFTY,2026-04-28,27,51448.65,51400.0,3287.1,6.39,29.46,-1.43,0.84,54000.0,60000;55000;59000,60000;51000;59000,2712540.0,-389190.0,2605458328096.5
2026-04-01,BANKNIFTY,2026-05-26,55,51448.65,51400.0,,,27.98,,0.61,55000.0,60000;55000;52000,58000;57000;52000,2712540.0,-389190.0,42423645645.0
2026-04-01,NIFTY,2026-04-07,6,22679.4,22700.0,613.05,2.7,26.43,-1.56,0.84,23000.0,24000;24500;23500,20200;21000;20500,23023975.0,-199680.0,60767532634497.0
2026-04-01,NIFTY,2026-04-13,12,22679.4,22700.0,889.3,3.92,27.12,-1.45,0.8,22900.0,24000;23000;25000,20500;22500;21500,23023975.0,-199680.0,1205926301775.0
2026-04-02,BANKNIFTY,2026-04-28,26,51548.75,51500.0,3328.15,6.46,30.34,-0.09,0.86,54000.0,60000;55000;59000,60000;51000;50000,2798370.0,85830.0,2717090529801.0
2026-04-02,BANKNIFTY,2026-05-26,54,51548.75,51500.0,4443.45,8.62,28.1,0.11,0.61,54900.0,60000;55000;57000,58000;57000;50000,2798370.0,85830.0,48674220589.5
2026-04-02,NIFTY,2026-04-07,5,22713.1,22700.0,550.1,2.42,25.92,4.29,1.17,22800.0,24000;23000;24500,20200;21000;22000,23852465.0,828490.0,63887872519929.25
2026-04-02,NIFTY,2026-04-13,11,22713.1,22700.0,859.55,3.78,27.32,3.28,0.78,22700.0,25000;24000;23500,20500;22000;20200,23852465.0,828490.0,2260506781981.5
2026-04-06,BANKNIFTY,2026-04-28,22,52609.1,52600.0,3130.85,5.95,30.4,-1.46,0.87,54000.0,60000;55000;59000,52000;50000;51000,2741970.0,-56400.0,2738688811492.5
2026-04-06,BANKNIFTY,2026-05-26,50,52609.1,52600.0,4299.65,8.17,27.7,-1.27,0.63,54100.0,60000;57000;55000,58000;57000;52000,2741970.0,-56400.0,47603787292.5
2026-04-06,NIFTY,2026-04-07,1,22968.25,22950.0,364.85,1.59,38.01,-0.36,1.43,23000.0,24000;23500;24500,21500;22000;22500,24259625.0,407160.0,181794127337520.75
2026-04-06,NIFTY,2026-04-13,7,22968.25,22950.0,781.55,3.4,30.79,-0.66,0.93,22900.0,25000;24000;23500,20100;20500;21000,24259625.0,407160.0,6012339570097.25
2026-04-07,BANKNIFTY,2026-04-28,21,52716.25,52700.0,2968.6,5.63,29.44,0.91,0.86,54000.0,60000;58000;55000,50000;52000;59000,2685120.0,-56850.0,2115349298275.5
2026-04-07,BANKNIFTY,2026-05-26,49,52716.25,52700.0,4371.1,8.29,28.39,4.68,0.63,54000.0,57000;60000;55000,58000;57000;52000,2685120.0,-56850.0,39478512013.5
2026-04-07,NIFTY,2026-04-07,0,23123.65,23100.0,24.1,0.1,2.17,2.34,1.38,23100.0,23150;23500;23100,23100;23000;22900,24528855.0,269230.0,626433380796915.2
2026-04-07,NIFTY,2026-04-13,6,23123.65,23100.0,671.5,2.9,28.37,3.16,1.27,23000.0,25000;24000;24500,20100;21000;22000,24528855.0,269230.0,12510038310272.75
2026-04-08,BANKNIFTY,2026-04-28,20,55703.9,55700.0,2175.8,3.91,20.89,0.22,0.81,55000.0,60000;58000;59000,52000;55000;58000,2490780.0,-194340.0,4645956951271.5
2026-04-08,BANKNIFTY,2026-05-26,48,55703.9,55700.0,3260.05,5.85,20.16,0.9,0.66,55000.0,58000;60000;57000,58000;50000;57000,2490780.0,-194340.0,140148810001.5
2026-04-08,NIFTY,2026-04-13,5,23997.35,24000.0,424.55,1.77,18.94,1.28,1.2,23900.0,25000;24500;24000,21000;23000;22000,23000900.0,-1527955.0,67485428796587.75
2026-04-08,NIFTY,2026-04-21,13,23997.35,24000.0,675.2,2.81,18.67,1.16,0.99,23800.0,25000;24000;24500,20100;23000;21000,23000900.0,-1527955.0,1418389908507.0
2026-04-09,BANKNIFTY,2026-04-28,19,54821.7,54800.0,2328.05,4.25,23.31,-0.96,0.77,55000.0,58000;60000;55000,58000;52000;55000,2506380.0,15600.0,3494687600755.5
2026-04-09,BANKNIFTY,2026-05-26,47,54821.7,54800.0,3529.5,6.44,22.44,-0.63,0.72,55900.0,60000;57000;55000,58000;52000;50000,2506380.0,15600.0,109918646902.5
2026-04-09,NIFTY,2026-04-13,4,23775.1,23800.0,388.5,1.63,19.56,-1.12,0.92,23800.0,25000;24500;24000,23000;21000;22500,22720035.0,-280865.0,70430606717549.0
2026-04-09,NIFTY,2026-04-21,12,23775.1,23800.0,688.05,2.89,20.01,-0.69,0.9,23800.0,25000;25500;26000,20100;23000;21000,22720035.0,-280865.0,1959288586212.75
2026-04-10,BANKNIFTY,2026-04-28,18,55912.75,55900.0,2014.7,3.6,20.31,1.04,0.84,55500.0,58000;60000;59000,58000;52000;55000,2489370.0,-17010.0,3647647006504.5
2026-04-10,BANKNIFTY,2026-05-26,46,55912.75,55900.0,3142.25,5.62,19.77,1.26,0.79,56000.0,60000;57000;58000,58000;50000;53000,2489370.0,-17010.0,116509158453.0
2026-04-10,NIFTY,2026-04-13,3,24050.6,24050.0,282.6,1.18,16.24,1.5,1.17,23950.0,25000;24500;24900,23000;22500;24000,21503040.0,-1216995.0,137931495853521.5
2026-04-10,NIFTY,2026-04-21,11,24050.6,24050.0,581.5,2.42,17.43,1.24,1.0,23950.0,26000;25000;25500,21000;23000;20100,21503040.0,-1216995.0,4195131078037.25
2026-04-13,BANKNIFTY,2026-04-28,15,55605.05,55600.0,2193.0,3.94,24.38,0.67,0.92,55300.0,60000;58000;61000,58000;55000;54000,2474160.0,-15210.0,3768913094167.5
2026-04-13,BANKNIFTY,2026-05-26,43,55605.05,55600.0,3338.9,6.0,21.88,0.27,0.57,57000.0,60000;55000;58000,60000;58000;50000,2474160.0,-15210.0,239520389367.0
2026-04-13,NIFTY,2026-04-13,0,23842.65,23850.0,17.2,0.07,2.38,0.39,1.21,23850.0,23850;23900;24500,23800;23000;23850,21726900.0,223860.0,565777767462157.2
2026-04-13,NIFTY,2026-04-21,8,23842.65,23850.0,589.9,2.47,20.94,1.79,1.1,23800.0,25000;24500;26000,23000;22000;22500,21726900.0,223860.0,11548076930370.5
2026-04-15,BANKNIFTY,2026-04-28,13,56301.95,56300.0,1826.3,3.24,21.52,0.83,0.91,55500.0,60000;58000;59000,55000;54000;52000,2628510.0,154350.0,4190813237328.0
2026-04-15,BANKNIFTY,2026-05-26,41,56301.95,56300.0,2979.35,5.29,19.73,0.38,0.73,58000.0,60000;57000;58000,60000;58000;54000,2628510.0,154350.0,258182106463.5
2026-04-15,NIFTY,2026-04-21,6,24231.3,24250.0,439.9,1.82,17.75,2.32,1.11,24200.0,25000;25500;24200,23000;24200;22500,21075470.0,-651430.0,54229059160181.75
